rental_duration,rental_rate,length,replacement_cost,category_name,is_popular
6,0.99,87,21.99,Sports,1
6,0.99,139,22.99,New,1
5,4.99,175,28.99,Drama,1
7,4.99,98,15.99,Family,0
5,2.99,93,22.99,Travel,1
3,0.99,167,28.99,Sports,0
7,4.99,135,19.99,Children,0
5,4.99,88,11.99,Music,0
5,0.99,157,21.99,Documentary,1
5,2.99,50,18.99,Family,1
7,0.99,162,19.99,New,1
3,0.99,97,14.99,Documentary,1
7,0.99,48,19.99,Drama,0
7,0.99,159,16.99,Comedy,0
6,4.99,144,12.99,Family,0
5,4.99,124,25.99,Family,1
5,4.99,61,15.99,New,1
4,2.99,88,9.99,Foreign,1
3,2.99,92,24.99,Classics,1
4,2.99,147,11.99,Documentary,1
3,2.99,74,15.99,New,1
6,4.99,177,20.99,Documentary,0
4,0.99,105,25.99,Drama,1
4,0.99,125,20.99,Animation,1
6,2.99,178,10.99,Children,1
7,2.99,107,20.99,Drama,0
3,2.99,91,11.99,Horror,0
3,2.99,127,9.99,Sports,1
5,4.99,158,10.99,Sports,1
6,0.99,96,11.99,Horror,1
6,0.99,68,25.99,Action,0
5,2.99,178,23.99,Sci-Fi,1
5,2.99,120,11.99,Documentary,0
5,4.99,64,12.99,Animation,1
4,4.99,150,21.99,Horror,0
6,2.99,122,29.99,Classics,0
4,0.99,171,27.99,Comedy,1
7,0.99,113,14.99,Children,1
6,0.99,143,9.99,Games,1
5,2.99,181,16.99,Drama,1
7,4.99,112,12.99,Drama,1
5,4.99,104,20.99,Sports,1
3,0.99,98,22.99,Family,1
7,4.99,182,11.99,Sports,0
6,4.99,102,25.99,Documentary,1
6,0.99,169,12.99,Family,0
4,4.99,162,18.99,Music,1
4,4.99,80,28.99,New,1
3,2.99,152,24.99,Sports,1
6,2.99,152,9.99,Animation,1
5,2.99,89,25.99,Sports,1
3,0.99,151,19.99,Sports,1
3,4.99,184,24.99,Family,0
4,4.99,50,19.99,Foreign,0
6,2.99,180,10.99,Sports,0
3,0.99,132,21.99,Drama,1
4,2.99,90,17.99,Comedy,0
4,2.99,64,9.99,Sci-Fi,1
3,0.99,178,28.99,Children,1
3,0.99,108,13.99,Children,1
3,0.99,165,29.99,Music,1
7,2.99,172,29.99,Music,1
3,4.99,108,13.99,Games,1
5,0.99,171,13.99,Documentary,0
6,2.99,167,17.99,Sports,1
4,0.99,140,29.99,Classics,1
6,0.99,114,20.99,Animation,1
5,2.99,131,23.99,Sci-Fi,1
7,0.99,49,23.99,Animation,1
7,4.99,81,29.99,Travel,0
3,2.99,179,20.99,New,1
4,4.99,57,27.99,Games,1
4,2.99,61,14.99,Games,0
3,2.99,73,14.99,New,0
4,0.99,54,15.99,Documentary,0
5,4.99,162,23.99,Sports,1
3,4.99,118,9.99,Drama,0
6,2.99,130,22.99,Family,1
4,2.99,112,27.99,Sports,0
3,0.99,139,25.99,Travel,1
5,2.99,155,11.99,Games,0
5,4.99,50,18.99,Foreign,0
5,4.99,112,14.99,Comedy,1
7,0.99,149,23.99,Horror,1
6,0.99,142,17.99,Drama,1
4,0.99,120,21.99,Horror,1
4,0.99,72,14.99,Foreign,1
3,0.99,51,18.99,Sci-Fi,1
3,4.99,138,9.99,New,1
4,4.99,79,24.99,Animation,0
5,2.99,87,25.99,Family,0
5,0.99,141,9.99,Sci-Fi,1
4,0.99,59,16.99,Music,1
5,4.99,141,22.99,Drama,1
4,4.99,121,27.99,New,1
5,4.99,91,16.99,Comedy,1
3,4.99,137,23.99,Drama,1
5,2.99,177,28.99,Sports,1
5,2.99,78,17.99,Music,1
3,4.99,167,24.99,Documentary,1
5,0.99,142,17.99,New,0
4,4.99,171,25.99,Games,1
5,0.99,114,10.99,Drama,1
3,2.99,82,29.99,Sci-Fi,1
5,0.99,78,26.99,Children,1
5,4.99,49,19.99,Music,0
7,2.99,105,18.99,Music,0
5,0.99,47,12.99,Documentary,0
3,0.99,102,12.99,Classics,0
7,2.99,78,12.99,Drama,0
7,0.99,85,26.99,Animation,1
7,0.99,69,29.99,Children,1
3,0.99,117,29.99,Sci-Fi,1
4,0.99,149,29.99,Sports,1
5,0.99,98,17.99,Classics,1
7,2.99,79,12.99,Classics,1
6,2.99,174,16.99,Action,1
5,4.99,140,26.99,Sports,0
4,4.99,142,16.99,Classics,1
4,4.99,91,11.99,Sci-Fi,1
4,4.99,69,28.99,Games,1
7,4.99,112,22.99,Animation,1
7,4.99,142,26.99,Animation,1
3,2.99,146,10.99,Foreign,0
7,0.99,144,14.99,Classics,1
3,0.99,62,16.99,New,1
4,0.99,106,25.99,Drama,1
4,4.99,75,19.99,Sports,1
3,0.99,87,19.99,Drama,0
6,2.99,129,15.99,Action,1
3,0.99,105,23.99,Sports,1
6,2.99,73,11.99,Foreign,1
5,2.99,115,16.99,Animation,1
6,4.99,140,16.99,Sports,1
7,2.99,147,29.99,Games,1
6,2.99,136,17.99,Foreign,1
4,0.99,65,12.99,Animation,1
6,4.99,135,15.99,Games,1
3,0.99,94,19.99,Travel,1
7,2.99,154,15.99,Foreign,1
6,2.99,101,13.99,Games,0
3,2.99,144,24.99,Comedy,1
6,0.99,158,13.99,Horror,1
7,4.99,165,20.99,Games,0
3,0.99,73,21.99,Comedy,1
5,0.99,163,29.99,Classics,1
4,4.99,127,15.99,Games,0
7,2.99,138,12.99,Family,1
5,4.99,158,20.99,Games,0
5,0.99,114,27.99,Travel,0
3,4.99,92,16.99,Sports,0
6,2.99,178,19.99,Drama,1
4,4.99,64,27.99,Horror,1
4,0.99,133,25.99,Comedy,1
5,2.99,57,12.99,Sports,1
3,2.99,182,20.99,Family,1
5,2.99,61,19.99,Travel,0
7,2.99,185,23.99,Travel,1
7,2.99,146,21.99,Sci-Fi,1
5,0.99,157,27.99,Drama,1
7,4.99,160,12.99,Travel,1
6,4.99,133,19.99,New,1
4,4.99,51,21.99,Animation,1
3,4.99,48,27.99,Documentary,1
7,4.99,119,17.99,Travel,1
3,2.99,66,21.99,Sci-Fi,1
6,4.99,96,27.99,Animation,0
5,0.99,103,19.99,Documentary,1
7,2.99,157,13.99,Foreign,0
5,0.99,113,15.99,Music,1
3,2.99,80,10.99,Animation,1
3,0.99,58,22.99,Action,1
6,0.99,111,12.99,Games,1
5,4.99,77,23.99,Music,1
5,4.99,122,26.99,Children,1
5,4.99,173,18.99,Games,0
5,0.99,92,21.99,Children,1
3,2.99,135,17.99,New,1
7,0.99,63,22.99,Animation,1
5,0.99,130,15.99,Documentary,1
4,2.99,106,10.99,Horror,1
3,0.99,123,14.99,Animation,1
4,2.99,85,17.99,Action,0
3,0.99,135,12.99,Sports,1
4,4.99,180,17.99,Drama,1
3,2.99,142,21.99,Classics,1
3,4.99,50,18.99,Comedy,1
6,0.99,125,21.99,Action,1
4,0.99,129,18.99,Music,1
4,4.99,85,24.99,Horror,1
5,4.99,83,14.99,New,1
6,4.99,85,22.99,Travel,1
6,0.99,88,20.99,Classics,0
4,2.99,108,26.99,Children,1
7,0.99,100,27.99,Games,1
7,2.99,98,27.99,Games,1
6,4.99,100,29.99,New,1
5,0.99,111,17.99,Travel,0
7,0.99,165,18.99,Sci-Fi,1
7,2.99,63,27.99,Family,1
3,0.99,73,26.99,Documentary,1
3,2.99,107,13.99,Animation,1
3,4.99,49,22.99,Animation,1
7,0.99,81,28.99,Music,1
4,2.99,70,10.99,Classics,1
5,2.99,106,23.99,Documentary,0
3,4.99,93,9.99,New,1
3,4.99,129,17.99,Action,1
6,0.99,144,25.99,Documentary,1
6,0.99,149,12.99,Children,1
5,4.99,127,21.99,Comedy,1
6,2.99,122,16.99,Documentary,1
7,2.99,147,19.99,Drama,1
5,4.99,99,11.99,Children,1
3,4.99,114,20.99,Animation,1
3,4.99,100,20.99,Horror,1
4,0.99,104,19.99,Family,1
7,0.99,76,14.99,Travel,0
6,0.99,57,22.99,Sports,1
7,2.99,84,20.99,Drama,0
3,0.99,103,20.99,Sports,1
3,0.99,110,14.99,Travel,1
4,2.99,95,23.99,Animation,1
5,2.99,131,28.99,Games,1
5,2.99,46,10.99,Foreign,1
6,2.99,60,17.99,New,0
3,0.99,86,15.99,Sci-Fi,1
6,0.99,50,13.99,Comedy,1
5,4.99,62,18.99,Drama,1
4,2.99,160,20.99,Children,1
6,4.99,54,10.99,Classics,1
7,0.99,67,23.99,Music,1
7,0.99,103,14.99,Action,0
3,4.99,71,26.99,Horror,0
6,0.99,48,28.99,Family,0
3,4.99,130,13.99,Action,1
6,2.99,112,13.99,Games,1
6,4.99,176,19.99,Comedy,1
6,0.99,114,25.99,Sci-Fi,1
4,4.99,134,17.99,Family,1
6,0.99,181,17.99,New,0
4,0.99,155,24.99,Horror,1
3,0.99,84,29.99,Sports,1
6,0.99,169,12.99,Games,1
6,4.99,77,9.99,Travel,1
3,2.99,47,21.99,Sports,0
6,0.99,150,26.99,New,1
5,0.99,78,12.99,Animation,1
6,4.99,90,11.99,Documentary,1
6,0.99,48,14.99,Family,1
4,0.99,79,20.99,Travel,1
5,4.99,122,16.99,Animation,1
3,4.99,150,28.99,Sports,1
5,2.99,102,10.99,Children,1
7,2.99,120,10.99,Travel,1
6,0.99,176,22.99,Comedy,1
5,4.99,152,19.99,Children,0
4,2.99,119,12.99,Sci-Fi,1
7,0.99,177,26.99,Children,1
6,4.99,62,28.99,Comedy,1
4,2.99,80,24.99,Drama,1
3,4.99,147,25.99,Family,1
7,2.99,176,18.99,Foreign,1
7,4.99,133,27.99,Travel,1
3,4.99,113,16.99,New,1
3,0.99,52,17.99,Action,1
3,4.99,59,13.99,Children,0
4,4.99,112,19.99,Documentary,1
7,2.99,48,19.99,Comedy,1
7,4.99,107,22.99,Horror,1
4,4.99,60,20.99,Sports,0
7,0.99,56,24.99,Action,1
5,4.99,139,13.99,Travel,0
4,2.99,85,14.99,Animation,1
7,2.99,148,21.99,Family,1
7,0.99,73,24.99,Music,0
3,4.99,144,14.99,Family,1
3,4.99,109,24.99,Family,1
4,0.99,136,12.99,Children,0
5,4.99,138,26.99,Travel,1
6,2.99,161,26.99,Documentary,1
6,2.99,155,13.99,Classics,0
6,2.99,49,11.99,Comedy,1
3,0.99,139,23.99,Games,1
5,2.99,75,10.99,Music,1
7,2.99,121,19.99,Horror,1
4,4.99,76,27.99,Documentary,0
5,4.99,161,26.99,Comedy,1
3,2.99,121,25.99,Comedy,1
5,2.99,168,11.99,Action,0
7,0.99,184,18.99,Sports,1
3,2.99,123,21.99,Music,1
4,4.99,103,21.99,Comedy,1
3,4.99,48,12.99,Horror,0
6,2.99,47,19.99,Documentary,0
5,0.99,172,14.99,Sports,1
6,0.99,173,9.99,Sports,1
4,2.99,116,21.99,Sports,1
5,2.99,117,26.99,Horror,1
7,2.99,106,13.99,Music,1
6,4.99,100,10.99,Drama,1
5,0.99,101,16.99,Family,1
5,4.99,66,25.99,New,0
5,4.99,116,20.99,Travel,0
6,0.99,67,22.99,Drama,1
3,4.99,82,17.99,Games,1
5,0.99,93,29.99,Action,1
4,2.99,63,15.99,Action,1
5,2.99,107,26.99,Sci-Fi,1
6,4.99,100,18.99,Animation,0
6,0.99,113,20.99,Action,1
5,4.99,135,28.99,Animation,1
6,4.99,51,23.99,Sci-Fi,0
6,2.99,81,12.99,Animation,1
4,4.99,173,14.99,Drama,1
7,0.99,83,20.99,Foreign,1
3,0.99,117,19.99,Children,0
6,0.99,136,25.99,New,1
6,2.99,180,23.99,Foreign,1
7,4.99,121,26.99,Foreign,1
6,4.99,53,17.99,Children,0
6,0.99,67,19.99,New,0
5,4.99,58,12.99,Comedy,1
6,4.99,65,21.99,Horror,1
4,2.99,58,22.99,New,1
3,4.99,164,15.99,Documentary,0
3,4.99,59,9.99,Children,1
7,4.99,179,22.99,Sports,1
3,2.99,85,21.99,Sci-Fi,1
3,4.99,139,12.99,Children,1
7,4.99,83,28.99,Travel,1
3,4.99,53,12.99,Travel,0
3,2.99,76,19.99,Travel,1
7,0.99,85,29.99,New,1
4,4.99,48,17.99,Documentary,1
7,2.99,109,13.99,Family,1
3,0.99,161,20.99,Sports,1
7,2.99,79,15.99,Foreign,1
7,2.99,176,11.99,Foreign,1
6,0.99,64,17.99,Drama,1
6,0.99,181,21.99,Horror,1
4,4.99,93,13.99,Sci-Fi,0
7,0.99,135,20.99,Family,1
3,2.99,84,29.99,Classics,1
3,0.99,141,17.99,Travel,1
6,4.99,167,25.99,Classics,1
6,0.99,134,11.99,New,1
4,0.99,170,26.99,Action,1
7,0.99,175,23.99,Action,1
4,2.99,115,13.99,Family,1
7,4.99,132,12.99,Classics,0
6,0.99,126,16.99,Foreign,1
7,2.99,50,18.99,Documentary,1
5,0.99,84,10.99,Classics,0
5,2.99,125,21.99,Documentary,0
5,2.99,128,15.99,Documentary,0
5,4.99,151,21.99,Foreign,0
4,4.99,110,18.99,Drama,1
7,2.99,166,10.99,Travel,1
4,0.99,102,28.99,Horror,1
4,0.99,148,25.99,Comedy,1
6,4.99,103,29.99,Sci-Fi,1
7,4.99,182,18.99,Comedy,1
4,0.99,135,26.99,Family,1
4,2.99,74,14.99,Classics,0
3,2.99,80,26.99,Foreign,1
3,2.99,132,13.99,Foreign,0
4,4.99,145,10.99,Games,1
6,0.99,72,20.99,Foreign,0
5,4.99,157,17.99,Foreign,1
4,2.99,172,13.99,Sci-Fi,1
4,2.99,159,11.99,Sports,1
5,2.99,74,21.99,Animation,0
6,0.99,135,29.99,Horror,0
4,4.99,120,22.99,Foreign,1
5,2.99,181,9.99,Sports,1
5,0.99,181,22.99,Games,1
3,2.99,171,24.99,Sports,0
6,0.99,138,15.99,Documentary,1
4,2.99,71,21.99,Comedy,1
6,0.99,104,22.99,Action,1
4,4.99,145,17.99,Drama,1
4,4.99,74,22.99,Travel,1
3,0.99,62,27.99,Animation,1
6,4.99,124,29.99,Classics,1
3,0.99,144,27.99,Documentary,1
7,4.99,107,23.99,Games,1
3,4.99,163,16.99,Children,0
3,0.99,178,27.99,Foreign,1
3,0.99,104,12.99,Games,1
6,0.99,111,13.99,Sports,1
4,0.99,76,21.99,Foreign,1
3,0.99,63,11.99,New,1
7,2.99,115,29.99,Animation,1
7,4.99,128,27.99,Sports,1
4,0.99,176,22.99,Games,1
5,4.99,84,9.99,Sci-Fi,1
5,4.99,123,18.99,New,1
3,4.99,179,27.99,Drama,1
3,0.99,69,13.99,Classics,1
7,2.99,118,18.99,Travel,1
7,4.99,102,13.99,Travel,1
5,4.99,58,10.99,Family,1
5,2.99,101,28.99,Children,1
5,4.99,53,9.99,Documentary,1
3,2.99,136,14.99,Sports,0
6,4.99,76,13.99,Travel,0
3,4.99,110,11.99,Foreign,1
7,4.99,99,27.99,Sports,0
3,0.99,179,10.99,Travel,1
7,4.99,106,26.99,Games,0
7,4.99,132,10.99,Comedy,1
3,4.99,158,24.99,Action,1
7,2.99,147,18.99,Animation,0
4,4.99,158,12.99,Documentary,1
6,4.99,153,19.99,Horror,1
3,0.99,63,26.99,Drama,1
3,0.99,126,14.99,Classics,1
3,2.99,68,22.99,Games,1
6,4.99,119,11.99,New,0
6,0.99,173,29.99,Foreign,0
4,0.99,100,20.99,Sports,1
6,2.99,159,22.99,Classics,1
6,4.99,120,20.99,Games,0
6,2.99,139,14.99,Action,1
4,4.99,143,15.99,Classics,1
4,4.99,56,22.99,Sci-Fi,1
6,2.99,136,26.99,Horror,1
3,4.99,173,14.99,Comedy,1
6,2.99,162,22.99,Sci-Fi,1
4,2.99,112,10.99,Comedy,1
5,0.99,130,23.99,Sci-Fi,0
5,4.99,71,13.99,Horror,1
6,0.99,57,28.99,Animation,1
